PG.Pvalue,PG.ProteinLabel,PG.ProteinGroups,PG.Genes,[1] Hek293_control_invivo_1.raw.PG.Quantity,[2] Hek293_control_invivo_2.raw.PG.Quantity,[3] Hek293_control_invivo_3.raw.PG.Quantity,[4] Hek293_XO44_invivo_1.raw.PG.Quantity,[5] Hek293_XO44_invivo_2.raw.PG.Quantity,[6] Hek293_XO44_invivo_3.raw.PG.Quantity,[7] HeLa_control_invivo_1.raw.PG.Quantity,[8] HeLa_control_invivo_2.raw.PG.Quantity,[9] HeLa_control_invivo_3.raw.PG.Quantity,[10] HeLa_XO44_invivo_1.raw.PG.Quantity,[11] HeLa_XO44_invivo_2.raw.PG.Quantity,[12] HeLa_XO44_invivo_3.raw.PG.Quantity
0.005256414572066945,PSN2_HUMAN,P49810,PSEN2,52.87511444091797,27.99737548828125,45.66864776611328,372.7008972167969,345.979248046875,392.52099609375,66.54042053222656,52.31407165527344,68.73577880859375,325.781982421875,339.302490234375,421.4073181152344
7.46533668272749E-06,TSC2_HUMAN,P49815,TSC2,57.26377487182617,31.788583755493164,33.27388381958008,769.616455078125,667.3564453125,791.1682739257812,37.377540588378906,36.78120803833008,36.999305725097656,705.5482788085938,710.6491088867188,945.8806762695312
9.181806289215933E-06,NDUV1_HUMAN,P49821,NDUFV1,158.4927215576172,141.13751220703125,137.84715270996094,2447.1533203125,2041.04443359375,2550.926025390625,231.76614379882812,192.83497619628906,178.75848388671875,2745.6875,2544.68994140625,3923.95166015625
9.63632989631406E-07,GSK3A_HUMAN,P49840,GSK3A,87.29344177246094,82.88114929199219,77.8896255493164,26707.146484375,21745.421875,23517.921875,266.086669921875,64.41209411621094,78.27626037597656,7680.27783203125,6807.677734375,9619.873046875
4.3140786402750154E-05,GSK3B_HUMAN,P49841,GSK3B,51.525142669677734,26.629770278930664,27.12738609313965,14402.9638671875,11766.357421875,12255.41015625,160.72178649902344,34.744361877441406,52.65749740600586,7279.4384765625,7007.033203125,9724.1455078125
0.002084455410610861,STK19_HUMAN,P49842,STK19,50.767784118652344,20.907081604003906,43.78316116333008,308.1439208984375,200.34347534179688,130.30337524414062,36.38669967651367,21.077669143676758,20.583030700683594,444.035888671875,429.7294006347656,532.2621459960938
0.0006132975688094542,TAF6_HUMAN,P49848,TAF6,23.181976318359375,17.455608367919922,22.689247131347656,396.9510498046875,232.001220703125,312.285888671875,28.257736206054688,13.815038681030273,24.6718692779541,432.5578308105469,409.0213928222656,562.8944702148438
1.6747253226908766E-05,5NTC_HUMAN,P49902,NT5C2,97.52632141113281,98.66544342041016,117.05606842041016,2031.34716796875,1634.266357421875,1943.3682861328125,192.4774169921875,101.82901763916016,152.87803649902344,2188.873046875,2397.997802734375,3459.2548828125
3.656269082081445E-06,SPS1_HUMAN,P49903,SEPHS1,168.538330078125,162.2355499267578,145.67066955566406,1910.513427734375,1492.7763671875,2046.0078125,103.60887145996094,98.09142303466797,140.40835571289062,1627.1851806640625,1537.7098388671875,2474.476806640625
2.700920577815553E-06,MTHFS_HUMAN,P49914,MTHFS,56.221248626708984,73.60834503173828,44.041255950927734,842.03466796875,688.712890625,965.3673095703125,67.95975494384766,62.74824905395508,65.0770492553711,970.8909301757812,832.9426879882812,1347.7789306640625
