HGNC ,Kinase Classification,PG.ProteinGroups,[4] Hek293_XO44_invivo_1.raw.PG.Quantity,[5] Hek293_XO44_invivo_2.raw.PG.Quantity,[6] Hek293_XO44_invivo_3.raw.PG.Quantity,[10] HeLa_XO44_invivo_1.raw.PG.Quantity,[11] HeLa_XO44_invivo_2.raw.PG.Quantity,[12] HeLa_XO44_invivo_3.raw.PG.Quantity,average_hek293_X044_invivo,average_hela_X044_invivo
CLK2,CMGC,P49760,9907.2783203125,8164.8876953125,8235.5361328125,2576.695556640625,2541.5615234375,3653.0654296875,8769.234049479166,2923.774169921875
CLK3,CMGC,P49761,13745.1376953125,11442.634765625,12846.2548828125,4074.7744140625,3673.56689453125,5644.09912109375,12678.009114583334,4464.146809895833
CLK4,CMGC,Q9HAZ1,6458.5087890625,5546.73046875,6203.83544921875,1969.34130859375,1692.77197265625,2255.85693359375,6069.691569010417,1972.65673828125
COQ8B,Atypical,Q96D53,2632.029541015625,2177.413818359375,2689.85009765625,1328.7679443359375,1328.4671630859375,1824.73583984375,2499.7644856770835,1493.9903157552083
CSK,TK,P41240,122847.359375,101820.59375,108504.0078125,22740.001953125,24789.20703125,32152.1640625,111057.3203125,26560.457682291668
CSNK1A1,CK1,P48729,7034.59765625,5977.75732421875,6666.83740234375,5112.49853515625,4983.9384765625,6760.8408203125,6559.730794270833,5619.092610677083
CSNK1D,CK1,P48730,4599.912109375,3991.90625,3626.741455078125,3199.11962890625,2417.629150390625,3702.50927734375,4072.853271484375,3106.4193522135415
CSNK1E,CK1,P49674,4943.18359375,3702.190185546875,4615.29736328125,2111.470703125,1942.7769775390625,2820.697021484375,4420.223714192708,2291.648234049479
CSNK1G1,CK1,Q9HCP0,975.4296875,809.1275634765625,858.8743896484375,343.6563720703125,281.1039428710937,557.1114501953125,881.1438802083334,393.95725504557294
CSNK1G2,CK1,P78368,3090.62451171875,2297.2626953125,2853.9541015625,895.1879272460938,728.468017578125,1890.8265380859373,2747.2804361979165,1171.494160970052
CSNK1G3,CK1,Q9Y6M4,6180.3212890625,4928.361328125,5638.08935546875,1644.3289794921875,1838.450927734375,2667.167236328125,5582.25732421875,2049.982381184896
CSNK2A1,CMGC,P68400,4231.4716796875,3539.795654296875,4276.2763671875,2306.936279296875,2142.73095703125,3273.381591796875,4015.847900390625,2574.349609375
CSNK2A2,CMGC,P19784,3807.32275390625,2829.26123046875,3404.227294921875,2691.688720703125,2529.321533203125,3561.09765625,3346.9370930989585,2927.3693033854165
DAPK1,CAMK,P53355,784.3735961914062,848.4828491210938,897.711181640625,400.6482543945313,302.5104064941406,458.6766357421875,843.5225423177084,387.27843221028644
DAPK3,CAMK,O43293,735.7744750976562,601.609375,655.9678955078125,678.0216064453125,563.0150756835938,793.4520874023438,664.4505818684896,678.1629231770834
DCLK1,CAMK,O15075,1973.448486328125,1895.4140625,1740.1956787109375,352.9573059082031,447.7142028808594,141.98638916015625,1869.6860758463542,314.21929931640625
DCLK2,CAMK,Q8N568,1235.308349609375,885.2074584960938,785.5611572265625,230.5008850097656,112.5477066040039,972.9555053710938,968.6923217773438,438.6680323282878
DCLK3,CAMK,Q9C098,586.9993286132812,607.0696411132812,514.1319580078125,441.4176025390625,439.1565246582031,477.4931335449219,569.4003092447916,452.6890869140625
DDR1,TK,Q08345,1107.407958984375,629.7678833007812,879.3961181640625,325.8060607910156,312.5773010253906,388.5240173339844,872.1906534830729,342.3024597167969
DSTYK,Other,Q6XUX3,6168.27734375,5884.16796875,6018.96484375,5516.5615234375,5280.107421875,7645.54150390625,6023.803385416667,6147.403483072917
DYRK1A,CMGC,Q13627,8876.6328125,7004.14453125,7908.755859375,1533.25927734375,1685.9112548828125,2449.665771484375,7929.844401041667,1889.6121012369792
DYRK1B,CMGC,Q9Y463,10145.4453125,8761.3369140625,9085.76171875,3049.281982421875,3018.61328125,4653.3759765625,9330.847981770834,3573.757080078125
